obj_000003,obj_000029,obj_000019,obj_000004,obj_000030,obj_000023,obj_000022,obj_000032,obj_000028,obj_000020
38089.1,50457,36656.6,223305,39623.2,41391.3,42676.1,37576.7,42437.9,37850.3
41087.3,43811.9,38385.1,36970.1,43353.2,40007.1,43918.4,37300.9,49325.6,41803.5
39335.9,50556.5,46946.8,37175.4,37910.1,42990,46099.6,37741.8,51164.3,37512.3
219100,41689.8,159374,39535.4,36476.2,39881,44655.5,39335.6,51756.7,39496.9
38701.5,43457.7,44428.7,220750,38111.2,51599.1,52603.4,37894.6,343233,36857.7
42681.9,43745.4,41716,88517.4,41140.7,39925.8,44028.1,43234.5,49486.8,39625.6
238889,52719.3,229228,52935.2,49875.4,65541.7,50121.2,44034.4,59735.9,44147.9
38910.5,46145.1,42102,37067.4,35098.8,41473.2,45850.5,37783.5,39677.3,38096.3
186807,49001.3,36078.5,85964.3,44699.1,63610.4,57796.5,62313.7,64294.7,37921.3
51474.2,38909.3,43884.3,70961.5,59840.7,56234.3,57658.2,59688.9,60726.8,55895.6
