obj_000003,obj_000029,obj_000019,obj_000004,obj_000030,obj_000023,obj_000022,obj_000032,obj_000028,obj_000020
0.0718528,0.0969612,0.0594421,0.0738007,0.0258007,0.0454337,0.0419577,0.0482817,0.0848589,0.0639445
0.0803343,0.0556914,0.0803343,0.103287,0.0278895,0.025782,0.145237,0.0803343,0.139211,0.0826708
0.0103765,0.0189404,0.0103765,0.0136314,0.0132491,0.0220438,0.0129785,0.0126885,0.0145909,0.0138906
0.0268195,0.457415,4.23556,0.156726,0.179282,0.304314,0.196112,0.0431771,5.36136,0.301475
0.0232906,0.017215,0.0436622,0.00316293,0.0125515,0.0243416,0.000564765,0.0212041,0.00142656,0.0243416
0.0408221,0.112279,0.0908058,0.0411451,0.0371744,0.0793397,0.0562629,0.085574,0.0944356,0.0780901
0.0124824,0.00945626,0.0190192,0.00199516,0.0233119,0.00278401,0.0147167,0.0118032,0.00860863,0.0101071
0.0319644,0.03713,0.0717152,0.0210615,0.0319644,0.0319644,0.0319644,0.0248677,0.0488609,0.0433188
0.0715377,0.0346796,0.0752148,0.0408883,0.00176615,0.0348406,0.0194558,0.0591692,0.0140561,0.0320173
0.429772,1.84446,0.0314413,0.0146913,0.0292128,0.0372489,0.4,0.0881957,0.0640026,0.378319
