obj_000003,obj_000029,obj_000019,obj_000004,obj_000030,obj_000023,obj_000022,obj_000032,obj_000028,obj_000020
25.9074,25.9144,29.4889,24.6544,32.0557,28.8363,25.8498,25.012,26.7748,27.1174
24.2606,25.9575,32.183,24.751,39.7576,37.7551,22.8068,23.9499,23.2972,25.3761
38.2482,36.3221,42.4542,34.7765,37.7164,35.2148,34.3825,35.069,34.4617,37.8867
34.3087,17.8269,17.0912,24.8742,27.911,24.3975,24.758,32.1962,15.1588,25.1594
31.9646,32.6057,31.058,49.1699,38.1767,33.527,51.3471,33.7533,46.772,32.997
28.6606,25.5698,30.6522,30.5018,29.3486,28.5734,25.5578,25.9479,24.8716,28.6933
39.0798,37.5279,37.0648,48.2818,35.1959,47.5188,36.5723,37.7444,39.9672,40.2003
32.3144,28.4631,28.9338,33.3525,34.541,32.8039,30.3801,31.445,32.6826,30.8718
27.2038,27.2867,28.7285,32.8898,53.5351,30.8667,36.3779,31.7307,39.2764,30.2238
21.9062,13.4469,35.0286,42.0986,38.9295,31.9472,20.5838,29.0057,33.7318,22.3257
