obj_000003,obj_000029,obj_000019,obj_000004,obj_000030,obj_000023,obj_000022,obj_000032,obj_000028,obj_000020
35.6441,59.0878,35.6441,35.6441,49.1698,49.1698,50.7497,35.6441,56.444,35.6441
41.0451,50.7497,41.0451,36.1038,57.2548,44.4066,54.1111,36.1038,69.4133,44.4066
35.6441,62.1383,35.6441,35.6441,45.8083,53.3934,53.1614,35.6441,68.912,35.6441
40.867,50.7497,59.8843,40.867,40.867,43.2787,50.7497,40.867,67.5277,40.867
35.8222,50.7497,53.8974,35.8222,45.9864,66.6312,62.9491,35.8222,58.5089,35.8222
39.1837,47.5502,49.3479,39.1837,52.7094,44.125,54.1111,45.2382,67.7347,39.1837
61.0781,64.4374,63.2184,59.4469,62.654,71.5982,62.6044,46.2166,83.196,46.2166
35.8222,53.3934,45.2382,35.8222,35.8222,49.3479,57.4726,35.8222,50.7497,35.8222
41.1223,56.0497,35.8222,41.1223,50.5338,84.4267,65.1901,62.5706,78.6936,35.8222
58.7098,40.867,55.6749,70.9073,69.5249,76.0221,74.6923,63.1624,87.6681,62.5036
